dim,stream,icc,rho_arat,rho_fma,cohens_d,abs_d,abs_rho
117,acc_std,0.9712404,0.7252008483105552,0.7043039349501027,-1.2633585929870605,1.2633585929870605,0.7252008483105552
92,acc_std,0.97654754,0.7212132033896781,0.7101334550553097,-1.2149888277053833,1.2149888277053833,0.7212132033896781
10,acc_mean,0.98592013,0.717074569971797,0.7074971013754675,-1.2771247625350952,1.2771247625350952,0.717074569971797
119,acc_std,0.9703139,0.7120749149710001,0.6972308663798952,-1.1834356784820557,1.1834356784820557,0.7120749149710001
107,acc_std,0.97000957,0.7098046674160463,0.7009081505534505,-1.2154624462127686,1.2154624462127686,0.7098046674160463
123,acc_std,0.9733652,0.7059354903928188,0.6908940279954342,-1.2055094242095947,1.2055094242095947,0.7059354903928188
94,acc_std,0.9793644,0.7039617997319807,0.7019838818437586,-1.2176389694213867,1.2176389694213867,0.7039617997319807
125,acc_std,0.98445153,0.7013330512841404,0.6998393794224613,-1.28018057346344,1.28018057346344,0.7013330512841404
56,acc_mean,0.98811406,-0.6948653235124731,-0.688152498574771,1.2588024139404297,1.2588024139404297,0.6948653235124731
25,acc_mean,0.9800851,-0.6933778932419867,-0.6809897212844517,1.3236206769943237,1.3236206769943237,0.6933778932419867
20,acc_mean,0.95548224,0.6915760971777379,0.6738787585135072,-0.9810723662376404,0.9810723662376404,0.6915760971777379
32,acc_mean,0.9529203,0.6914769867797045,0.6725996359008762,-0.9752995371818542,0.9752995371818542,0.6914769867797045
17,acc_mean,0.9883005,-0.6902752732035489,-0.6817205380129499,1.3010364770889282,1.3010364770889282,0.6902752732035489
5,acc_mean,0.9889053,0.6885090949385936,0.6776936991713721,-1.2621448040008545,1.2621448040008545,0.6885090949385936
16,acc_mean,0.98311085,-0.6882682876433716,-0.6718819661399805,1.1796354055404663,1.1796354055404663,0.6882682876433716
43,acc_mean,0.9788309,0.6872237569640971,0.670051444239075,-1.232186198234558,1.232186198234558,0.6872237569640971
54,acc_mean,0.9857969,0.6869535262694592,0.6784523565371468,-1.2943146228790283,1.2943146228790283,0.6869535262694592
121,acc_std,0.9705704,0.686487397678708,0.67838894175224,-1.295172095298767,1.295172095298767,0.686487397678708
80,acc_std,0.9590271,0.6863031142823646,0.6584063243472988,-1.1699146032333374,1.1699146032333374,0.6863031142823646
23,acc_mean,0.97377014,-0.6853847945005859,-0.6667995031350162,1.0646955966949463,1.0646955966949463,0.6853847945005859
120,acc_std,0.9395003,-0.6818942501698453,-0.6799975119059719,0.9656282663345337,0.9656282663345337,0.6818942501698453
27,acc_mean,0.9812005,-0.6793073139211754,-0.6605748006506952,1.1248385906219482,1.1248385906219482,0.6793073139211754
31,acc_mean,0.9685801,0.6765670662755473,0.6674034902937009,-1.1884804964065552,1.1884804964065552,0.6765670662755473
18,acc_mean,0.97024655,0.6758415471899432,0.6561620596424287,-1.1102144718170166,1.1102144718170166,0.6758415471899432
49,acc_mean,0.98663217,0.6753398007998987,0.6705054012968829,-1.2441387176513672,1.2441387176513672,0.6753398007998987
41,acc_mean,0.9831585,-0.6719019088681135,-0.6647771901773195,1.286811351776123,1.286811351776123,0.6719019088681135
11,acc_mean,0.9855108,-0.6713103436798512,-0.6674808253972458,1.2292563915252686,1.2292563915252686,0.6713103436798512
14,acc_mean,0.9889335,-0.6707605906907596,-0.6650409028804074,1.315403699874878,1.315403699874878,0.6707605906907596
63,acc_mean,0.9901288,0.666594856773416,0.6569292238695932,-1.332089900970459,1.332089900970459,0.666594856773416
51,acc_mean,0.9611513,-0.6655828466934964,-0.6570444531738748,1.3452566862106323,1.3452566862106323,0.6655828466934964
44,acc_mean,0.9896194,-0.6633304080381893,-0.6555433788140704,1.3291995525360107,1.3291995525360107,0.6633304080381893
0,acc_mean,0.98474264,0.6623935050567793,0.6555603925368503,-1.340969204902649,1.340969204902649,0.6623935050567793
33,acc_mean,0.9879329,0.6592924336183108,0.657134161893987,-1.2756651639938354,1.2756651639938354,0.6592924336183108
37,acc_mean,0.9720677,-0.6570361234630806,-0.6353233426412467,0.881739616394043,0.881739616394043,0.6570361234630806
2,acc_mean,0.9698209,0.6569509504647707,0.6344479092691195,-0.9425405263900757,0.9425405263900757,0.6569509504647707
35,acc_mean,0.98875755,-0.6558150523873091,-0.6525636572744893,1.2894630432128906,1.2894630432128906,0.6558150523873091
68,acc_std,0.9848236,0.6546892202096479,0.6528575306679595,-1.261696219444275,1.261696219444275,0.6546892202096479
50,acc_mean,0.9814799,-0.6543957605154708,-0.6530222544385097,1.1989145278930664,1.1989145278930664,0.6543957605154708
72,acc_std,0.97269166,0.6505227119923198,0.6435510243073782,-1.2640589475631714,1.2640589475631714,0.6505227119923198
85,acc_std,0.95587134,0.6502648700974358,0.6441387710943186,-1.2255491018295288,1.2255491018295288,0.6502648700974358
66,acc_std,0.96902084,0.6474479667533289,0.6430166387418835,-1.2588802576065063,1.2588802576065063,0.6474479667533289
101,acc_std,0.9837663,0.6471800589586447,0.6381182332833558,-1.3530926704406738,1.3530926704406738,0.6471800589586447
8,acc_mean,0.98605436,0.6447712117064411,0.6314650943253967,-1.348314642906189,1.348314642906189,0.6447712117064411
1,acc_mean,0.97264874,0.6430096792413935,0.6226635861909628,-1.0370324850082397,1.0370324850082397,0.6430096792413935
21,acc_mean,0.97219014,0.6426782788479691,0.6361044271870493,-1.2608319520950317,1.2608319520950317,0.6426782788479691
4,acc_mean,0.9635876,-0.6415679326700007,-0.6392720730282443,1.229068398475647,1.229068398475647,0.6415679326700007
100,acc_std,0.94677526,0.6403793821935839,0.6211222975773151,-1.0718837976455688,1.0718837976455688,0.6403793821935839
116,acc_std,0.95315,0.6401834842974709,0.6190272896222864,-1.010697841644287,1.010697841644287,0.6401834842974709
47,acc_mean,0.98963195,-0.6397630394058134,-0.6380161509466769,1.2767524719238281,1.2767524719238281,0.6397630394058134
36,acc_mean,0.9761772,0.637796317444837,0.6137685025812398,-0.9615548849105835,0.9615548849105835,0.637796317444837
70,acc_std,0.9682189,0.6374277506521501,0.6151930151885352,-1.2061257362365723,1.2061257362365723,0.6374277506521501
90,acc_std,0.9090273,0.635631374687794,0.6150019974827795,-1.1512367725372314,1.1512367725372314,0.635631374687794
84,acc_std,0.98462284,0.6343483596132515,0.6314117331039507,-1.3834258317947388,1.3834258317947388,0.6343483596132515
82,acc_std,0.98325235,0.6335601222288917,0.6336652780212462,-1.2781354188919067,1.2781354188919067,0.6335601222288917
24,acc_mean,0.98592126,0.632692906246099,0.6153507787997665,-1.2520712614059448,1.2520712614059448,0.632692906246099
30,acc_mean,0.979862,0.6298581940023456,0.6053281493803604,-0.8872787356376648,0.8872787356376648,0.6298581940023456
109,acc_std,0.96564424,0.6298566454023762,0.6102188213285336,-1.1653380393981934,1.1653380393981934,0.6298566454023762
75,acc_std,0.9668539,0.6289228396209047,0.6064959094438869,-1.232941746711731,1.232941746711731,0.6289228396209047
122,acc_std,0.9566164,0.6266719495655668,0.6147065773872383,-1.26895010471344,1.26895010471344,0.6266719495655668
53,acc_mean,0.9769347,-0.6259340416802086,-0.6030297501030089,1.2404474020004272,1.2404474020004272,0.6259340416802086
